AFFYMETRIX_ID	Name	Species
1431936_a_at	neuraminidase 2(Neu2)	Mus musculus
1435191_at	corneodesmosin(Cdsn)	Mus musculus
1453257_at	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)(Agpat5)	Mus musculus
1435639_at	RIKEN cDNA 2610528A11 gene(2610528A11Rik)	Mus musculus
1439149_s_at	predicted gene 9999(Gm9999)	Mus musculus
1424090_at	syndecan binding protein (syntenin) 2(Sdcbp2)	Mus musculus
1451006_at	xanthine dehydrogenase(Xdh)	Mus musculus
1418050_at	glycosylphosphatidylinositol specific phospholipase D1(Gpld1)	Mus musculus
1430952_at	RIKEN cDNA 3110039C02 gene(3110039C02Rik)	Mus musculus
1418266_at	arachidonate 12-lipoxygenase, 12R type(Alox12b)	Mus musculus
1421500_at	steroid sulfatase(Sts)	Mus musculus
1430087_at	NTPase, KAP family P-loop domain containing 1(Nkpd1)	Mus musculus
1458533_at	RIKEN cDNA 9330169L03 gene(9330169L03Rik)	Mus musculus
1422876_at	calpain 9(Capn9)	Mus musculus
1453326_at	C2 calcium-dependent domain containing 4B(C2cd4b)	Mus musculus
1430256_at	family with sequence similarity 65, member C(Fam65c)	Mus musculus
1421676_at	spermatogenesis associated multipass transmembrane protein 4(Samt4)	Mus musculus
1418203_at	phorbol-12-myristate-13-acetate-induced protein 1(Pmaip1)	Mus musculus
1449417_at	ameloblastin(Ambn)	Mus musculus
1439458_x_at	carcinoembryonic antigen-related cell adhesion molecule 11(Ceacam11)	Mus musculus
1434725_at	GRAM domain containing 1C(Gramd1c)	Mus musculus
1428088_at	TEPSIN, adaptor related protein complex 4 accessory protein(Tepsin)	Mus musculus
1423542_at	kallikrein related-peptidase 7 (chymotryptic, stratum corneum)(Klk7)	Mus musculus
1453092_at	cysteine-rich C-terminal 1(Crct1)	Mus musculus
1435541_at	betacellulin, epidermal growth factor family member(Btc)	Mus musculus
1434092_at	autophagy related 9B(Atg9b)	Mus musculus
1438850_at	claudin 1(Cldn1)	Mus musculus
1453568_at	death associated protein-like 1(Dapl1)	Mus musculus
1434146_at	glutamate receptor, ionotropic, AMPA2 (alpha 2)(Gria2)	Mus musculus
1437269_at	tetratricopeptide repeat domain 38(Ttc38)	Mus musculus
1437866_at	dual specificity phosphatase 18(Dusp18)	Mus musculus
1433801_at	RIKEN cDNA 9930012K11 gene(9930012K11Rik)	Mus musculus
1428980_at	keratinocyte expressed, proline-rich(Kprp)	Mus musculus
1430730_at	RIKEN cDNA 9430024F10 gene(9430024F10Rik)	Mus musculus
1421092_at	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12(Serpina12)	Mus musculus
1421091_at	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12(Serpina12)	Mus musculus
1446858_at	expressed sequence AU022245(AU022245)	Mus musculus
1418213_at	keratin 23(Krt23)	Mus musculus
1446869_at	predicted gene, 19784(Gm19784)	Mus musculus
1417808_at	RIKEN cDNA 2310050C09 gene(2310050C09Rik)	Mus musculus
1445408_at	dynein, axonemal, intermediate chain 2(Dnaic2)	Mus musculus
1451054_at	orosomucoid 1(Orm1)	Mus musculus
1430800_at	RIKEN cDNA 4930518F22 gene(4930518F22Rik)	Mus musculus
1456211_at	NLR family, pyrin domain containing 10(Nlrp10)	Mus musculus
1437672_at	insulin receptor substrate 3(Irs3)	Mus musculus
1430594_at	RAB11 family interacting protein 1 (class I)(Rab11fip1)	Mus musculus
1453218_at	late cornified envelope 1C(Lce1c)	Mus musculus
1422820_at	lipase, hormone sensitive(Lipe)	Mus musculus
1420350_at	late cornified envelope 1A2(Lce1a2)	Mus musculus
1459898_at	suprabasin(Sbsn)	Mus musculus
1444522_at		
1441793_at		
1442936_at		
1442209_at		
1458147_at		
1445983_at		
1451757_at		
1441292_at		
1459647_at		
1459306_at		
1447616_at		
1459037_at		
1446110_at		
1429964_at		
1445368_at		
1429676_at		
1447722_at		
1441596_at		
1457433_x_at		
1446249_at		
1432742_at		
1440589_at		
1459227_at		
1445378_at		
1441745_at		
1442715_at		
1458519_at		
1445349_at		
1443292_at		
