ID	KO1	KO2	KO3	WT1	WT2	WT3
1415899_at	1539.5	1682.7	1318.7	1328.9	723.5	870.4
1415900_a_at	674.5	1077.8	1052.2	964.7	902.1	634.9
1415901_at	5230.5	5068.1	4611.3	5694	4605.2	4348.3
1415902_at	19.3	53.1	27.5	47.6	22.6	23.5
1415903_at	1303.8	1425.9	971.7	1354.6	1091.8	1222.7
1415904_at	16149.7	14314.6	14638	21014.1	22373.9	22823.7
1415905_at	43.5	140.7	318.7	405.7	255.3	251
1415906_at	57823.8	60020.2	61355.6	65382.6	67523.5	61315.9
1415907_at	12867.8	12943	13963.6	11098	10601.7	12538.1
1415908_at	5129.3	4076	5958	3316	3834.9	4399.5
1415909_at	5024	4584.3	5411.1	5405.1	4972.7	4434.3
1415910_s_at	1178.7	1568.8	1444.3	1081	1678.8	1210.9
1415911_at	2625.5	2724.4	2424.9	2487.6	2259.9	2341
1415912_a_at	44762.8	45698.8	46613.8	42184.7	39056.8	34757.5
1415913_at	444.5	576.4	866	353.2	699.8	745.4
1415914_at	36860	36257	36973.1	37206.6	35439	35114.6
1415915_at	9731.6	9564.6	10029.3	10261.6	10770.8	9836.2
1415916_a_at	3024	4089.1	2817.7	4273.3	3928.5	3658.1
1415917_at	2353.4	2456.5	2557.4	2822.3	2756.6	3257.4
1415918_a_at	48269.2	47304	46110.9	45808.2	39025.1	38837.7
1415919_at	2207.6	2053.9	2068.1	1889.3	2629.8	2193.5
1415920_at	8330.6	8289	9415.3	7451.8	7702.2	7718.2
1415921_a_at	1322.8	914.5	864.5	1351.7	839.4	927.1
1415922_s_at	6171.2	5430.4	4391.9	7240.9	7244.9	6168.8
1415923_at	13015.6	9840.3	13991.7	11707.1	12528.8	15378.6
1415924_at	100.6	289	16.5	38.6	106.3	11.3
1415925_a_at	4761.2	4800.8	5980.8	5184.4	5132.7	5168.1
1415926_at	6044.4	5639.1	6380.4	6043	5663.3	5719.2
1415927_at	63550.3	57578.4	60655.5	77826.3	75449.7	81275.7
1415928_a_at	11856.1	11083.3	11664.5	9045.8	10061.3	9325.3
1415929_at	10135.2	10250.2	9425.8	7992.1	8216.7	7381.9
1415930_a_at	18917.8	17414	18513	24114.2	22910.4	22199
1415931_at	1203.5	1100.6	860.8	1624.9	543.1	817.5
1415932_x_at	3780.3	3368.9	3449.9	4525	4546.2	3857.9
1415933_a_at	29546.8	27192.6	32615.3	26835.8	29223	29990.1
1415934_at	4010.4	4095.5	3852.8	3572.1	3288.3	3925.6
1415935_at	7169.2	7157.3	7704.8	7928.8	7253.4	7550.2
1415936_at	1196.9	1456.9	897.2	1373.8	908.4	1129.8
1415937_s_at	2017.2	1253.4	1936.8	1420.9	1043.8	1219.3
1415938_at	101.4	163	84.1	130.1	124	98.4
1415939_at	1322	1317.1	1314.3	606	1171.8	1323.4
1415940_at	1785.6	1987.2	1893.4	1774.4	1933.1	2273.9
1415941_s_at	1151	847.7	1335.4	904.9	1163.5	1106.5
1415942_at	79659.6	88835.6	80290	87586.6	86020.2	78573.9
1415943_at	25198	25966.7	24716.6	10562.3	7742.5	6434.3
1415944_at	9660.5	9931.4	8936.7	4147.6	3817.5	3527.9
1415945_at	3689.2	3585.3	3937	4666.2	4421.9	4287.8
1415946_at	2306.5	2264	3032.6	2568.9	2874.6	2573.1
1415947_at	2675.8	2531	2780.6	2250.5	1805.4	1753.5
1415948_at	1108.7	951.2	1279.3	1082.7	1414.8	1150.7
1415949_at	9917	10326.8	9666.2	7994.1	8664.1	7567.3
1415950_a_at	14754.1	18486.9	18167.2	19097.4	16100.7	17473.4
1415951_at	4087.7	4467.7	4577.3	4813.6	5433.8	5109
1415952_at	4369.1	3399.1	4590.8	3428.3	4270.4	4632
1415953_s_at	1665.5	1256.7	1208.7	1436.4	1315.3	1062.1
1415954_at	21.3	185.1	55.3	25.8	27.9	132.7
1415955_x_at	247.4	651.6	146	285.9	262.7	181.4
1415956_a_at	5566.6	4759.3	4545.9	4763.5	4066.6	4367.6
1415957_a_at	5205.6	4881.3	5249.9	4714.3	4735.7	4372.4
1415958_at	1008.5	780.8	898.4	927.2	1658.9	1544.2
1415959_at	603.2	390.6	748	596.5	785.5	925.4
1415960_at	155.7	81.7	164.1	55.8	189.4	240.4
1415961_at	10440.3	10599.6	11767.2	10115.9	12750.4	12138.3
1415962_at	28430.8	29902.1	30181.2	26702.4	27289.4	27423.9
1415963_at	10204.1	7851.6	10275.8	8763.8	8377.9	8928.1
1415964_at	1305.4	1106.5	840.8	1560.4	1940.6	1549.5
1415965_at	334.2	290.2	261.3	319.8	319.8	366.9
1415966_a_at	11305.5	10997.7	12447.1	10436.7	12223.1	11477.9
1415967_at	10626.1	11305.8	11425.1	10489.4	11249.5	10796.2
1415968_a_at	1127.8	853.6	894.1	1307.4	988.4	1070.8
1415969_s_at	67.6	26.8	27.9	67.7	24.9	23.1
1415970_at	39817	40584.8	39883.3	43656.8	46983.3	43185.6
1415971_at	43575	37773.1	43639.6	32093.8	41270.9	41572.6
1415972_at	29850.6	23213.7	30462.8	16722.3	16321.7	21560.5
1415973_at	31969.3	29348.8	33372.8	29341.1	28015.9	34136.8
1415974_at	4046.2	4271.2	4281.6	4476.7	5764.8	3967.9
1415975_at	2765.5	2945.7	2842.5	2529.9	2853	2676.2
1415976_a_at	1140.1	1213.8	1377.1	1189.1	975.5	1522.2
1415977_at	1390.4	1192.4	1537	1990.7	2083.2	1774.1
1415978_at	237.2	225.9	182.5	242.8	234.2	20.1
1415979_x_at	83689	84979.1	78845.9	81473.9	81113.6	74613.6
1415980_at	27891.5	27682.8	28704.5	27018.5	29552.8	28448.1
1415981_at	4318.2	3687.7	4263.6	4271.1	4304.3	4699.6
1415982_at	1858.4	1609.5	1720.7	1762.4	1451.7	1635
1415983_at	3466.1	2823.2	3491.8	2515.9	3690.4	3338.8
1415984_at	7059.1	6946.8	7652.4	7024.1	7206.9	7155.6
1415985_at	7405.3	7093.2	7532	7900.5	6852.5	7753.5
1415986_at	4137.7	3831.1	3737.5	3536.5	4031.1	3626
1415987_at	16867.4	12639.2	15844.1	14074.2	13716.5	13436.7
1415988_at	1968.7	2239.7	1877.4	1448.8	1298.1	1214.5
1415989_at	1400.3	1558.5	1351.6	1896.2	1843.1	1819
1415990_at	18176.1	18676.3	19552.1	19814.7	18597.1	21260.2
1415991_a_at	13369.6	13212	13223.3	12233.8	13932.5	14161.1
1415992_at	1028.2	1011.1	1218.8	1390.5	1284.1	1261.9
1415993_at	12019	12234	10439	7169.9	5966.5	5257.5
1415994_at	171.9	251.3	87.5	68.2	43.6	162.2
1415995_at	2521.4	2626.2	2360.6	2187.8	2239.1	2322.9
1415996_at	10982.5	11345.8	10063.7	11794.2	9838.1	13148.9
1415997_at	6054.5	5322.4	5107	6681.7	3966.6	6077.3
1415998_at	15461.8	14953.6	14778.7	14844.5	11211.8	11816.3
1415999_at	1053	1280.3	993.3	854.2	1564	1177.2
1416000_a_at	40328.9	39412.6	41331.5	37186.5	34627.5	33180.8
1416001_a_at	427.7	403	393.4	1552.5	370.6	889.9
1416002_x_at	1181.3	1329.2	1331.9	849	1114	816.3
1416003_at	323.1	241.4	141.8	213.5	200.2	377.5
1416004_at	10192.2	9309.1	10092.9	11173.5	11740.6	11907.5
1416005_at	6684.7	5951.2	6475.4	7071.8	7360.9	6220.7
1416006_at	6452.8	6717.2	6377.9	6017.4	8185.4	7288
1416007_at	8077.5	8063.9	9113.7	8373	6974.6	8362.7
1416008_at	4014.1	3616.2	4397.8	4335.8	4664.4	4648.9
1416009_at	13986.8	13272.2	13698.1	10362.1	10936.1	12132.4
1416010_a_at	4076.8	4007.7	4150.9	3878.5	4650.5	4865.5
1416011_x_at	3818.8	4240.2	3707.2	4194.5	3991.7	4007
1416012_at	937.6	973.4	959.3	1007	782	780.9
1416013_at	4872.2	4471.4	3903.1	4911.8	4110.8	3290.6
1416014_at	4398.6	3991.1	4959.8	3714.5	4526.6	4772.9
1416015_s_at	8503.2	8415.7	10232	7809.7	8304.6	8878.6
1416016_at	872	948.7	969.5	793.2	638.6	925.4
1416017_at	2415	2414.8	2627.1	2444.3	3271.3	3192.9
1416018_at	3977	3141.3	4180.5	2603.5	3423.7	2999.6
1416019_at	1758.7	1300.7	1423	1313.6	1236.2	1347.1
1416020_a_at	15247	14333.4	15806.2	17691.4	15162.1	13716.6
1416021_a_at	132732.7	133293.3	129172.5	114752.6	123139.9	115255.6
1416022_at	124964.6	130702.4	123828.8	90429.1	88342.1	73620
1416023_at	1155.8	1271.9	1007.4	1485.8	1392.1	1569
1416024_x_at	22743.9	23895.7	26698.6	24837.3	25110.4	23990.1
1416025_at	261.4	57.7	122.5	62.3	32.3	11.2
1416026_a_at	78467.1	83142.5	75994.3	76929	73449.9	71871.5
1416027_at	9366	9575.5	9548.1	8316.3	7875.8	8032
1416028_a_at	10038.5	9888	10197.5	13595.1	11041.4	11018
1416029_at	5992.1	6024.7	5637.6	2705.9	2457.7	2971.7
1416030_a_at	6966.3	6926.3	7227.3	7177.6	7709.8	7977.8
1416031_s_at	4196.8	4375.7	5058.4	4502.1	4705.2	4678.9
1416032_at	2172.5	1982.6	2699.9	2628.6	3065	2580.7
1416033_at	101.8	235.8	185.9	414.7	294.1	208
1416034_at	34498.6	30853.8	31514.1	24535.4	18669.9	15191.4
1416035_at	4994.8	5392	5320.4	2010.3	2547.2	2634.1
1416036_at	9579.9	8920.7	10070.6	9969.7	9018.7	9413.3
1416037_a_at	23399.3	21843	24047.9	24605.8	21563	23439.7
1416038_at	2893.5	2737.6	2394.8	2979.2	2646.7	2580.1
1416039_x_at	2608.3	2769.6	3083.6	2488.7	2734.3	4063.1
1416040_at	181.1	80.6	96.9	35.5	81.7	6.7
1416041_at	6499.5	5597.7	6433.8	3663.5	3518.1	3570.5
